lh_tile_sched
PE1,PE2,PE3
0,12,24
1,13,25
2,14,26
0,12,24
1,13,25
2,14,26
0,12,24
1,13,25
2,14,26
39,51,63
40,52,64
41,53,65
39,51,63
40,52,64
41,53,65
39,51,63
40,52,64
41,53,65
78,90,102
79,91,103
80,92,104
78,90,102
79,91,103
80,92,104
78,90,102
79,91,103
80,92,104
117,129,141
118,130,142
119,131,143
117,129,141
118,130,142
119,131,143
117,129,141
118,130,142
119,131,143
rh_tile_sched
PE1,PE2,PE3
0,0,0
12,12,12
24,24,24
1,1,1
13,13,13
25,25,25
2,2,2
14,14,14
26,26,26
39,39,39
51,51,51
63,63,63
40,40,40
52,52,52
64,64,64
41,41,41
53,53,53
65,65,65
78,78,78
90,90,90
102,102,102
79,79,79
91,91,91
103,103,103
80,80,80
92,92,92
104,104,104
117,117,117
129,129,129
141,141,141
118,118,118
130,130,130
142,142,142
119,119,119
131,131,131
143,143,143
output_tile_incr_sched
PE1,PE2,PE3
0,12,24
0,12,24
0,12,24
1,13,25
1,13,25
1,13,25
2,14,26
2,14,26
2,14,26
39,51,63
39,51,63
39,51,63
40,52,64
40,52,64
40,52,64
41,53,65
41,53,65
41,53,65
78,90,102
78,90,102
78,90,102
79,91,103
79,91,103
79,91,103
80,92,104
80,92,104
80,92,104
117,129,141
117,129,141
117,129,141
118,130,142
118,130,142
118,130,142
119,131,143
119,131,143
119,131,143
rh_tile_col_sched
PE1,PE2,PE3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
