curr
ID,PE1
16,16
8,8
7,7
6,6
5,5
4,4
3,3
2,2
16,16
15,8
14,7
13,6
12,5
11,4
10,3
9,2
16,16
1,8
0,7
0,6
0,5
0,4
0,3
0,2
0,16
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,16
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,16
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,16
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,16
0,1
par
ID,PE1
8,8
7,7
6,6
5,5
4,4
3,3
2,2
0,0
15,8
14,7
13,6
12,5
11,4
10,3
9,2
0,0
1,8
0,7
0,6
0,5
0,4
0,3
0,2
0,0
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,0
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,0
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,0
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,15
0,14
0,13
0,12
0,11
0,10
0,9
0,0
0,1
0,0
derv
ID,PE1
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,4
-1,4
-1,4
-1,4
-1,4
-1,4
-1,4
-1,4
-1,5
-1,5
-1,5
-1,5
-1,5
-1,5
-1,5
-1,5
-1,6
-1,6
-1,6
-1,6
-1,6
-1,6
-1,6
-1,6
-1,7
-1,7
-1,7
-1,7
-1,7
-1,7
-1,7
-1,7
-1,8
-1,8
-1,8
-1,8
-1,8
-1,8
-1,8
-1,8
-1,9
-1,9
-1,9
-1,9
-1,9
-1,9
-1,9
-1,9
-1,10
-1,10
-1,10
-1,10
-1,10
-1,10
-1,10
-1,10
-1,11
-1,11
-1,11
-1,11
-1,11
-1,11
-1,11
-1,11
-1,12
-1,12
-1,12
-1,12
-1,12
-1,12
-1,12
-1,12
-1,13
-1,13
-1,13
-1,13
-1,13
-1,13
-1,13
-1,13
-1,14
-1,14
-1,14
-1,14
-1,14
-1,14
-1,14
-1,14
-1,15
-1,15
-1,15
-1,15
-1,15
-1,15
-1,15
-1,15
-1,1
-1,1
