lh_tile_sched
PE1,PE2,PE3
0,0,0
0,0,0
0,0,0
0,2,2
2,2,2
2,2,2
2,2,1
1,1,1
1,1,1
1,1,1
3,3,3
3,3,3
3,3,3
3,0,0
0,0,0
0,0,0
0,0,2
2,2,2
2,2,2
2,2,2
1,1,1
1,1,1
1,1,1
1,3,3
3,3,3
3,3,3
3,3,3
rh_tile_sched
PE1,PE2,PE3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
output_tile_incr_sched
PE1,PE2,PE3
0,0,0
0,0,0
0,0,0
0,2,2
2,2,2
2,2,2
2,2,0
0,0,0
0,0,0
0,0,0
2,2,2
2,2,2
2,2,2
2,1,1
1,1,1
1,1,1
1,1,3
3,3,3
3,3,3
3,3,3
1,1,1
1,1,1
1,1,1
1,3,3
3,3,3
3,3,3
3,3,3
rh_tile_col_sched
PE1,PE2,PE3
0,1,2
3,4,5
6,7,8
9,0,1
2,3,4
5,6,7
8,9,0
1,2,3
4,5,6
7,8,9
0,1,2
3,4,5
6,7,8
9,0,1
2,3,4
5,6,7
8,9,0
1,2,3
4,5,6
7,8,9
0,1,2
3,4,5
6,7,8
9,0,1
2,3,4
5,6,7
8,9,10
